city,AQI,PM2.5/h,PM10/h,CO/h,NO2/h,O3/h,O3/8h
阿坝州,43,8,32,0.35,1,95,85,7
阿克苏地区,129,46,206,0.65,6,116,74,4
阿拉善盟,70,16,87,0.33,4,117,106,8
阿勒泰地区,27,8,0,0.5,16,50,52,6
阿里地区,28,6,0,0.9,3,78,55,6
安康,47,19,46,0.4,8,111,85,7
安庆,43,30,38,1.13,26,48,35,6
鞍山,41,13,38,0.56,15,89,80,10
安顺,57,34,46,0.55,20,130,107,19
安阳,83,22,113,0.53,16,86,81,10
白城,48,12,18,0.2,6,104,95,9
百色,74,53,60,1.1,15,102,57,17
白山,44,0,0,0.5,5,99,86,6
白银,138,71,223,0.4,15,102,94,33
保定,39,12,38,0.2,10,81,75,7
宝鸡,122,48,192,0.5,10,120,88,7
保山,50,21,48,0.5,9,106,98,4
包头,44,11,20,0.48,10,92,87,8
巴彦淖尔,41,16,31,0.4,12,90,81,7
巴中,34,17,31,0.3,9,108,67,3
北海,35,21,34,0.6,9,79,66,6
北京,56,26,60,0.53,20,63,57,7
蚌埠,97,72,129,0.76,20,112,86,13
本溪,44,12,43,0.52,20,79,71,12
毕节,50,14,26,0.45,12,109,98,8
滨州,46,5,45,0.6,22,71,77,8
博州,33,0,0,0.2,14,97,65,11
亳州,105,78,112,0.55,18,137,109,8
沧州,41,15,30,0.63,18,77,80,12
长春,41,11,25,0.31,11,91,80,4
常德,53,32,54,0.92,15,102,74,9
昌都,28,9,20,0.0,7,82,54,3
昌都地区,29,6,12,0.7,11,86,57,8
昌吉州,41,10,18,0.45,11,90,80,10
长沙,61,43,50,0.67,14,113,82,6
常熟,75,43,98,0.57,45,73,58,13
长治,98,51,143,1.12,34,93,82,17
常州,78,57,93,1.0,52,68,48,15
朝阳,40,13,23,0.65,8,86,78,10
潮州,53,33,52,0.8,13,122,102,11
承德,39,12,30,0.5,15,77,77,8
成都,51,26,50,0.5,17,120,89,5
郴州,36,19,35,0.78,10,66,59,6
赤峰,34,11,22,0.33,18,78,67,15
池州,49,34,39,0.7,35,55,33,5
重庆,66,47,75,0.66,29,139,81,10
崇左,64,45,70,0.65,15,64,35,8
楚雄州,71,23,30,0.55,8,127,123,11
滁州,130,98,149,0.83,24,115,75,16
大连,45,14,44,0.41,22,81,77,9
大理州,46,15,35,0.4,0,108,91,0
丹东,43,11,27,0.55,13,85,85,15
大庆,43,17,26,0.24,8,102,85,3
大同,42,18,41,0.87,13,86,81,12
大兴安岭地,0,0,0,0.0,0,0,0,0
大兴安岭地区,43,10,0,0.2,8,90,84,12
达州,56,32,60,0.64,18,119,60,4
德宏州,48,32,47,0.5,13,96,61,7
德阳,65,31,77,0.45,23,122,77,5
德州,43,6,42,0.4,17,81,77,7
定西,150,29,249,0.45,10,106,78,5
迪庆州,43,8,29,0.3,6,102,84,6
东莞,43,27,42,0.66,18,82,59,7
东营,45,8,32,0.3,15,81,88,4
鄂尔多斯,41,7,26,0.44,8,95,81,5
恩施州,52,32,51,0.4,11,85,34,7
鄂州,55,38,53,1.23,40,48,26,9
防城港,48,25,47,0.8,35,33,19,5
佛山,55,31,58,0.69,31,78,56,8
抚顺,42,8,21,0.33,7,111,82,8
阜新,44,4,19,0.28,3,93,86,5
阜阳,135,102,121,0.8,16,109,63,4
富阳,0,0,0,0.0,0,0,0,0
福州,76,43,100,0.6,21,146,91,7
抚州,23,16,22,1.08,10,44,27,5
甘南州,64,20,76,0.7,8,109,90,3
赣州,53,23,53,1.23,18,65,66,5
甘孜藏族自治州,51,19,50,0.4,9,47,41,5
甘孜州,52,13,51,0.2,14,74,67,22
广安,50,26,49,0.5,15,137,86,6
广元,36,9,35,0.3,11,91,56,15
广州,53,31,54,0.69,36,101,67,5
贵港,67,45,81,0.87,32,20,12,23
桂林,56,39,47,0.6,15,50,23,14
贵阳,68,40,75,0.54,16,146,120,9
果洛州,39,1,4,0.6,7,123,72,14
固原,147,34,241,0.5,12,108,92,8
哈尔滨,40,21,39,0.47,12,85,77,6
海北州,61,17,41,0.3,5,114,112,11
海东地区,57,20,61,0.3,12,111,86,6
海口,33,12,32,0.38,13,66,59,4
海门,58,39,64,0.55,19,75,73,10
海南州,69,29,86,0.6,2,115,105,9
海西州,73,21,93,0.4,6,98,89,6
哈密地区,57,11,62,0.5,0,0,78,3
邯郸,68,19,83,0.33,16,96,85,5
杭州,67,47,82,0.95,58,79,81,7
汉中,64,27,76,0.83,15,114,70,12
鹤壁,66,24,79,0.33,18,88,79,12
河池,52,29,51,0.9,14,69,33,7
合肥,57,33,61,0.78,30,99,48,8
鹤岗,42,9,18,0.43,2,85,83,3
黑河,43,13,14,0.4,6,87,85,7
衡水,53,19,53,0.37,15,89,86,6
衡阳,45,31,35,0.72,21,71,41,11
和田地区,159,69,265,0.4,7,98,66,9
河源,44,26,43,0.9,18,102,69,5
菏泽,103,37,153,0.73,21,78,67,15
贺州,59,41,0,0.4,0,26,14,12
红河州,77,56,81,0.5,7,130,115,11
淮安,72,25,92,0.5,18,112,102,9
淮北,85,62,115,0.77,13,122,107,11
怀化,44,24,43,0.88,4,84,49,8
淮南,115,86,147,0.74,27,116,68,9
黄冈,60,42,64,1.45,39,39,27,17
黄南州,64,16,76,0.4,7,96,75,8
黄山,58,38,63,1.05,34,35,37,7
黄石,54,33,56,1.08,29,61,31,9
呼和浩特,43,4,12,0.5,10,98,85,7
惠州,53,31,54,0.56,23,110,79,5
葫芦岛,40,8,22,0.38,9,86,78,7
呼伦贝尔,42,9,16,0.35,5,87,82,2
湖州,88,65,81,1.07,66,49,65,12
佳木斯,42,14,23,0.34,10,82,82,5
吉安,60,37,68,0.78,26,25,65,11
江门,45,20,44,0.74,22,55,49,8
江阴,100,75,120,1.1,51,88,59,14
胶南,42,2,27,0.6,4,86,83,2
胶州,55,9,57,0.6,20,92,83,5
焦作,86,45,119,0.73,22,108,94,12
嘉兴,106,79,106,1.27,71,46,64,6
嘉峪关,64,32,76,1.25,23,105,88,39
揭阳,47,20,46,0.75,9,90,80,7
吉林,47,14,31,0.47,8,104,92,6
即墨,46,5,37,0.3,8,95,91,5
济南,90,36,127,0.79,48,63,64,22
金昌,53,8,54,0.5,4,101,95,3
晋城,114,62,175,1.12,31,110,95,17
景德镇,24,14,23,0.6,15,16,13,5
荆门,69,45,86,0.76,22,89,61,12
荆州,69,46,85,0.8,25,83,43,12
金华,20,14,19,0.63,38,42,27,5
济宁,91,65,129,0.77,18,140,118,25
金坛,100,75,125,1.15,64,41,47,11
晋中,77,28,102,0.75,29,84,78,15
锦州,50,14,49,0.43,17,75,75,12
九江,46,32,35,0.47,36,37,40,5
酒泉,53,17,53,0.6,18,115,82,15
鸡西,36,10,15,0.35,10,71,70,4
句容,94,70,132,0.95,31,98,66,6
开封,90,36,128,0.57,17,92,75,11
喀什地区,136,83,220,0.47,9,97,53,5
克拉玛依,42,10,41,0.34,10,99,70,6
克州,105,37,158,1.8,10,89,64,6
库尔勒,75,31,97,0.57,8,101,88,3
昆明,56,29,35,0.78,16,121,105,10
昆山,64,45,71,1.25,56,56,56,11
来宾,52,32,52,0.6,13,57,38,9
莱芜,88,65,99,0.67,18,89,77,10
莱西,49,11,48,0.3,5,78,78,5
莱州,58,13,64,0.6,19,82,86,19
廊坊,45,15,44,0.63,20,76,67,4
